# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/i-chronicles","i-chronicles-7-40",69852731,"setumah",2781,"ס"
"tanakh/i-chronicles","i-chronicles-8-32",69852910,"setumah",2960,"ס"
"tanakh/i-chronicles","i-chronicles-8-40",69852994,"petuchah",3044,"פ"
"tanakh/i-chronicles","i-chronicles-9-1",69853006,"setumah",3056,"ס"
"tanakh/i-chronicles","i-chronicles-9-4",69853034,"setumah",3084,"ס"
"tanakh/i-chronicles","i-chronicles-9-9",69853071,"setumah",3121,"ס"
"tanakh/i-chronicles","i-chronicles-9-11",69853085,"setumah",3135,"ס"
"tanakh/i-chronicles","i-chronicles-9-34",69853307,"setumah",3357,"ס"
"tanakh/i-chronicles","i-chronicles-9-38",69853337,"setumah",3387,"ס"
"tanakh/i-chronicles","i-chronicles-10-4",69853447,"setumah",3497,"סויקח"
"tanakh/i-chronicles","i-chronicles-10-5",69853461,"setumah",3511,"ס"
"tanakh/i-chronicles","i-chronicles-10-7",69853485,"setumah",3535,"ס"
"tanakh/i-chronicles","i-chronicles-10-10",69853516,"setumah",3566,"ס"
"tanakh/i-chronicles","i-chronicles-10-14",69853564,"petuchah",3614,"פ"
"tanakh/i-chronicles","i-chronicles-11-3",69853617,"setumah",3667,"ס"
"tanakh/i-chronicles","i-chronicles-11-9",69853679,"petuchah",3729,"פ"
"tanakh/i-chronicles","i-chronicles-11-10",69853693,"setumah",3743,"ס"
"tanakh/i-chronicles","i-chronicles-11-21",69853835,"setumah",3885,"ס"
"tanakh/i-chronicles","i-chronicles-11-25",69853892,"setumah",3942,"ס"
"tanakh/i-chronicles","i-chronicles-11-28",69853911,"setumah",3961,"סאביעזר"
"tanakh/i-chronicles","i-chronicles-11-28",69853913,"setumah",3963,"ס"
"tanakh/i-chronicles","i-chronicles-11-31",69853930,"setumah",3980,"סבניה"
"tanakh/i-chronicles","i-chronicles-11-31",69853932,"setumah",3982,"ס"
"tanakh/i-chronicles","i-chronicles-11-32",69853936,"setumah",3986,"סאביאל"
